#CODE;ENGLISH;;;;;;;;;x 
INTERACTION_IS_VALID_CONSORT;§Y[ThirdPartyCharacter.GetBestName]? can be taken as a concubine;;;;;;;;;x 
INTERACTION_CANT_DOW_PREPARED_INVADER;§Y[Recipient.GetBestName]? is not preparing to invade you;;;;;;;;;x 
INTERACTION_PREP_INV_NO_TARGET;No valid target Kingdom where §Y[Recipient.GetTitledFirstName]? controls between §Y$MIN$? and §Y$MAX$? Holdings;;;;;;;;;x 
INTERACTION_REQUIRES_RECIPIENT_NOT_DE_JURE_VASSAL;§Y[Recipient.GetTitledName]? is not a [Actor.Religion.GetName] de jure vassal;;;;;;;;;x 
INTERACTION_PAGANS_CANNOT_DEMAND_CONVERSION;§Y[Actor.GetBestName]? is not an unreformed Pagan;;;;;;;;;x 
INTERACTION_PREP_INV_REQ_PRESTIGE;§Y[Actor.GetTitledName]? must have at least §Y$PRESTIGE$? Prestige;;;;;;;;;x 
INTERACTION_PREP_INV_ATT_HOLDING_LIMIT;§Y[Actor.GetTitledName]? must have no more than §Y$NUM$? Holdings in the Realm;;;;;;;;;x 
REL_CONSORT;Concubine;;;;;;;;;x 
CH_CONSORT;Became a Concubine of $WHO$.;;;;;;;;;x 
CH_REMOVE_CONSORT;No longer a concubine of $WHO$.;;;;;;;;;x 
POTENTIAL_TARGET;Potential Target;;;;;;;;;x 
MAKE_CONSORT_INTERACTION_TITLE;Take Concubine;;;;;;;;;x 
MAKE_CONSORT_INTERACTION_DESC;Take a woman as your concubine.;;;;;;;;;x 
#MAKE_CONSORT_INTERACTION_LONG_DESC;Pagan rulers can have up to three concubines in addition to their wife. Concubines are not truly married, but will bear their liege's legitimate children. A woman who is the prisoner of a Pagan ruler can be forced to become his concubine, even if she is already married.;;;;;;;;;x 
MAKE_CONSORT_INTERACTION_ACCEPT_SETUP;Take Concubine Request Accepted;;;;;;;;;x 
MAKE_CONSORT_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetTitledName]? accepted the offer to make §Y[ThirdPartyCharacter.GetTitledName]? the concubine of §Y[Actor.GetTitledName]?.;;;;;;;;;x 
MAKE_CONSORT_INTERACTION_DECLINE_SETUP;Take Concubine Request Refused;;;;;;;;;x 
MAKE_CONSORT_INTERACTION_DECLINE_LOG;§Y[Recipient.GetTitledName]? refused the offer to make §Y[ThirdPartyCharacter.GetTitledName]? the concubine of §Y[Actor.GetTitledName]?.;;;;;;;;;x 
MAKE_CONSORT_INTERACTION_OFFER;§Y[Actor.GetTitledName]? proposes to take §Y[Recipient.GetTitledName]? as his concubine;;;;;;;;;x 
MAKE_CONSORT_INTERACTION_LETTER;\n\nThe grace and beauty of §Y[ThirdPartyCharacter.GetBestName]? is known throughout the lands. We propose to grant her the honor of becoming my concubine.;;;;;;;;;x 
MAKE_CONSORT_INTERACTION_0;Select a woman from the court of §Y[Recipient.GetTitledName]? to take as your concubine.;;;;;;;;;x 
MAKE_CONSORT_INTERACTION_1;Take [ThirdPartyCharacter.GetBestName] as your concubine.;;;;;;;;;x 
MAKE_CONSORT_INTERACTION_2;Because she is your prisoner, she cannot refuse.;;;;;;;;;x 
MAKE_CONSORT_INTERACTION_3;§Y[Actor.GetBestName]? would gain §G$PRESTIGE$? prestige from taking a concubine as noble as §Y[ThirdPartyCharacter.GetBestName]?.;;;;;;;;;x 
DISMISS_CONSORT_INTERACTION_TITLE;Set Concubine Aside;;;;;;;;;x 
DISMISS_CONSORT_INTERACTION_DESC;Set aside your Concubine;;;;;;;;;x 
DISMISS_CONSORT_INTERACTION_LONG_DESC;Concubines enjoy no special rights and can simply be set aside when no longer pleasing.;;;;;;;;;x 
DISMISS_CONSORT_INTERACTION_ACCEPT_SETUP;Concubine Set Aside;;;;;;;;;x 
DISMISS_CONSORT_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§W set aside his concubine §Y[Recipient.GetBestName]§W;;;;;;;;;x 
DISMISS_CONSORT_INTERACTION_OFFER;[Actor.GetBestName] has set you aside. You are no longer his concubine!;;;;;;;;;x 
DISMISS_CONSORT_INTERACTION_LETTER;[Recipient.GetFirstName], I no longer find your company pleasing. Clear out your chambers and leave at once.\n\n[Actor.GetFirstName];;;;;;;;;x 
opinion_set_aside;Set Aside;;;;;;;;;x 
opinion_evil_tyrant;Evil Tyrant;;;;;;;;;x 
d_zoroastrian;The Zoroastrian Church;;;;;;;;;x 
d_zoroastrian_adj;Zoroastrian;;;;;;;;;x 
HEAD_MOABADAN_MOABAD;Moabadan-Moabad;;;;;;;;;x 
norse;Norse;;;;;;;;;x 
won_viking_invasion;Successful Prepared Invasions;;;;;;;;;x 
lost_viking_invasion;Failed Prepared Invasions;;;;;;;;;x 
won_county_conquest;Successful County Conquests;;;;;;;;;x 
lost_county_conquest;Failed County Conquests;;;;;;;;;x 
lost_heretic_revolt;Heretic Rebel Victories;;;;;;;;;x 
won_heretic_revolt;Heretic Rebels Crushed;;;;;;;;;x 
ruler_converted_from;Rulers Led Astray;;;;;;;;;x 
ruler_converted_to;Rulers Converted;;;;;;;;;x 
temple_built;Temples Built;;;;;;;;;x 
temple_looted;Temples Looted;;;;;;;;;x 
looted_infidel_temple;Infidel Temples Looted;;;;;;;;;x 
action_inquisition;Proselytize;;;;;;;;;x 
SUPPLY_PAGAN_HOME;Pagan Homeland: $VALUE$;;;;;;;;;x 
TheOldGodsDLC;The Old Gods;;;;;;;;;x 
HymnsToTheOldGodsDLC;Hymns to the Old Gods;;;;;;;;;x 
SongsOfArabiaDLC;Songs of Arabia;;;;;;;;;x 
PREPARING_INVASION_AGAINST;Preparing to invade §Y$TARGET$? before §Y$END_DATE$?;;;;;;;;;x 
PREPARED_INVASION_TARGET;§Y$ATTACKER$? is preparing to invade before §Y$END_DATE$?;;;;;;;;;x 
preparing_to_invade;Preparing to Invade;;;;;;;;;x 
preparing_to_invade_me;Preparing to Invade;;;;;;;;;x 
alert_planning_invasion_instant;§YPreparing to Invade?;;;;;;;;;x 
alert_planning_invasion_delayed;We are preparing to invade §Y$TARGET$? before §Y$DATE$?;;;;;;;;;x 
alert_enemy_invasion_planned_instant;§YEnemy Planning to Invade?;;;;;;;;;x 
alert_enemy_invasion_planned_delayed;Enemy rulers are preparing invasions against us:\n$LIST$;;;;;;;;;x 
EVTDESC62100;As enemy soldiers stream into the room, I have no choice but to surrender. I am at the mercy of [New.GetTitledName].;;;;;;;;;x 
EVTOPTA62100;Damnation!;;;;;;;;;x 
EVTDESC62800;[From.Religion.GetRandomGodNameCap] forgive me, I have decided to find salvation in [Root.Religion.GetRandomGodName] and convert to the [Root.Religion.GetName] faith! I hope we can put this unpleasantness behind us forthwith.\n\n[From.GetTitledName];;;;;;;;;x 
EVTOPTA62800;Probably a wise move...;;;;;;;;;x 
#duke_norse_pagan_reformed;Jarl;;;;;;;;;x 
#duke_norse_pagan;Jarl;;;;;;;;;x 
#duchy_of_norse_pagan;Jarldom of;;;;;;;;;x 
#duchy_of_norse_pagan_reformed;Jarldom of;;;;;;;;;x 
d_novgorod_adj_norse;Holmgardian;;;;;;;;;x 
d_novgorod_adj_swedish;Holmgårdian;;;;;;;;;x 
d_novgorod_adj_danish;Holmgårdian;;;;;;;;;x 
d_novgorod_adj_norwegian;Holmgårdian;;;;;;;;;x 
d_kiev_adj_norse;Könugardian;;;;;;;;;x 
d_kiev_adj_swedish;Könugardian;;;;;;;;;x 
d_kiev_adj_danish;Kønugardian;;;;;;;;;x 
d_kiev_adj_norwegian;Kønugardian;;;;;;;;;x 
k_ruthenia_adj_norse;Könugardian;;;;;;;;;x 
k_ruthenia_adj_swedish;Könugardian;;;;;;;;;x 
k_ruthenia_adj_danish;Kønugardian;;;;;;;;;x 
k_ruthenia_adj_norwegian;Kønugardian;;;;;;;;;x 
c_durham_adj_norse;Dunholmer;;;;;;;;;x 
c_durham_adj_swedish;Dunholmer;;;;;;;;;x 
c_durham_adj_norwegian;Dunholmer;;;;;;;;;x 
c_durham_adj_danish;Dunholmer;;;;;;;;;x 
GOD_FREY;Frey;;;;;;;;;x 
GOD_TYR;Tyr;;;;;;;;;x 
GOD_RADEGAST;Radegast;;;;;;;;;x 
GOD_DIEVAS;Dievas;;;;;;;;;x 
GOD_LAIMA;Laima;;;;;;;;;x 
GOD_KUU;Kuu;;;;;;;;;x 
GOD_TAPIO;Tapio;;;;;;;;;x 
GOD_TAARA;Taara;;;;;;;;;x 
GOD_OMOL;Omöl;;;;;;;;;x 
GOD_MASTOR_AVA;Mastor-Ava;;;;;;;;;x 
TRIGGER_NEW_TITLE;New Landed Title;;;;;;;;;x 
HAS_LOWER_DYN_REALM_POWER;Dynasty Realm Power less than §Y$VAL$%?;;;;;;;;;x 
HAS_HIGHER_DYN_REALM_POWER;Dynasty Realm Power at least §Y$VAL$%?;;;;;;;;;x 
slavic_pagan;Slavic;;;;;;;;;x 
slavic_pagan_reformed;Slavic;;;;;;;;;x 
#norse_pagan_reformed;Norse;;;;;;;;;x 
tengri_pagan_reformed;Tengri;;;;;;;;;x 
baltic_pagan_reformed;Romuva;;;;;;;;;x 
finnish_pagan_reformed;Suomenusko;;;;;;;;;x 
aztec_reformed;Aztec;;;;;;;;;x 
west_african_pagan;West African;;;;;;;;;x 
west_african_pagan_reformed;West African;;;;;;;;;x 
TT_NOT_UNREFORMED_PAGAN;Is NOT Unreformed Pagan\n;;;;;;;;;x 
REBELS;Rebels;;;;;;;;;x 
GOD_PERUN;Perun;;;;;;;;;x 
GOD_VELES;Veles;;;;;;;;;x 
GOD_JARILO;Jarilo;;;;;;;;;x 
GOD_SVAROG;Svarog;;;;;;;;;x 
GOD_TRIGLAV;Triglav;;;;;;;;;x 
nick_whiteshirt;Whiteshirt;;;;;;;;;x 
nick_the_bald;the Bald;;;;;;;;;x 
nick_fairhair;Fairhair;;;;;;;;;x 
nick_lodbrok;Loðbrok;;;;;;;;;x 
nick_the_boneless;the Boneless;;;;;;;;;x 
nick_snake_in_the_eye;Snake-in-the-eye;;;;;;;;;x 
nick_bluetooth;Bluetooth;;;;;;;;;x 
nick_the_stranger;the Stranger;;;;;;;;;x 
nick_the_stammerer;the Stammerer;;;;;;;;;x 
nick_the_german;the German;;;;;;;;;x 
nick_the_younger;the Younger;;;;;;;;;x 
LOOTED_HOLDING; §R(Looted)?;;;;;;;;;x 
baron_norse_pagan;Þegn;;;;;;;;;x 
baron_norse_pagan_reformed;Þegn;;;;;;;;;x 
baron_norse;Þegn;;;;;;;;;x 
PROPHET_ZOROASTER;Zoroaster;;;;;;;;;x 
GOD_OHRMAZD;Ohrmazd;;;;;;;;;x 
GOD_ZURVAN;Zurvan;;;;;;;;;x 
GOD_MIHRYAZD;Mihryazd;;;;;;;;;x 
PROPHET_MANI;Mani;;;;;;;;;x 
PROPHET_MAZDAK;Mazdak;;;;;;;;;x 
manichean;Manichean;;;;;;;;;x 
mazdaki;Mazdaki;;;;;;;;;x 
THE_GREAT_SECRET;The Great Secret;;;;;;;;;x 
EVTDESC501;Like Ahura Mazda and Spandarmad at the time of creation, [From.GetTitledFirstName] and [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] have gotten married under the blessed auspices of Xwedodah, ensuring fullness and Order. We can collect a Royal Aid Duty to pay for the ceremonies.;;;;;;;;;x 
EVTDESC_TOG_1000;The peasants have risen up in [Root.GetName], led by a disgruntled former soldier. The rebels have the nerve to demand independence!;;;;;;;;;x 
EVTOPTA_TOG_1000;Blasted traitors!;;;;;;;;;x 
EVTDESC_TOG_1001;The peasants have risen up in [From.GetName], led by a disgruntled former soldier. The rebels have the nerve to demand independence!;;;;;;;;;x 
EVTDESC_TOG_1010;Even more peasants have risen up in [Root.GetName], reinforcing the ongoing revolt!;;;;;;;;;x 
EVTOPTA_TOG_1010;Treacherous rabble!;;;;;;;;;x 
EVTDESC_TOG_1011;Even more peasants have risen up in [From.GetName], reinforcing the ongoing revolt!;;;;;;;;;x 
EVTDESC_TOG_1020;[Root.Religion.GetName] heretics have risen up in [Root.GetName], led by a militant fanatic. If not swiftly crushed, this revolt could spread like wildfire!;;;;;;;;;x 
EVTOPTA_TOG_1020;Accursed Renegades!;;;;;;;;;x 
EVTDESC_TOG_1021;[From.Religion.GetName] heretics have risen up in [From.GetName], led by a militant fanatic. If not swiftly crushed, this revolt could spread like wildfire!;;;;;;;;;x 
EVTDESC_TOG_1030;Another mob of raving heretics have risen up in [Root.GetName], reinforcing the ongoing uprising!;;;;;;;;;x 
EVTOPTA_TOG_1030;Beware the Heretic!;;;;;;;;;x 
EVTDESC_TOG_1031;Another mob of raving heretics have risen up in [From.GetName], reinforcing the ongoing uprising!;;;;;;;;;x 
EVTDESC_TOG_1040;A dangerous revolt has broken out in [Root.GetName]. Many prominent [Root.Culture.GetName] landholders have raised an army of peasants, trained and led by a core of proper soldiers. They seek to restore the [Root.Kingdom.GetFullBaseName]!;;;;;;;;;x 
EVTOPTA_TOG_1040;Worrisome...;;;;;;;;;x 
EVTDESC_TOG_1041;A dangerous revolt has broken out in [From.GetName]. Many prominent [From.Culture.GetName] landholders have raised an army of peasants, trained and led by a core of proper soldiers. They seek to restore the [From.Kingdom.GetFullBaseName]!;;;;;;;;;x 
EVTDESC_TOG_1050;More [Root.Culture.GetName] rebels have taken up arms in [Root.GetName], joining the struggle to restore the [Root.Kingdom.GetFullBaseName]!;;;;;;;;;x 
EVTDESC_TOG_1051;More [From.Culture.GetName] rebels have taken up arms in [From.GetName], joining the struggle to restore the [From.Kingdom.GetFullBaseName]!;;;;;;;;;x 
EVTDESC_TOG_1201;News has reached court that a claimant to my titles, [From.GetTitledFirstName], is hiring men for an attack against me!;;;;;;;;;x 
EVTOPTA_TOG_1201;Oh dear, I hope [From.GetSheHe] is not prone to... accidents.;;;;;;;;;x 
EVTDESC_TOG_1203;After years of careful planning, [From.GetDynName] has raised a large army of exiles, mercenaries and hopefuls, declaring [From.GetPossPronoun] intention to press [From.GetPossPronoun] claim by force.;;;;;;;;;x 
EVTDESC_TOG_1204;After years of careful planning, [FromFrom.GetDynName] from the court of [From.GetTitledName] has raised a large army of exiles, mercenaries and hopefuls, declaring [FromFrom.GetPossPronoun] intention to press [FromFrom.GetPossPronoun] claim by force.;;;;;;;;;x 
EVTOPTA_TOG_1203;Well... good luck with that!;;;;;;;;;x 
EVTDESC_TOG_1211;Word has reached me that an ambitious adventurer, [From.GetTitledFirstName], is gathering men for some sort of attack on my territory!;;;;;;;;;x 
EVTOPTA_TOG_1211;I think of assassins...;;;;;;;;;x 
EVTDESC_TOG_1213;After years of careful planning, [From.GetDynName] has raised a large army of exiles, mercenaries and hopefuls, declaring [From.GetPossPronoun] intention to go off and carve out a realm of [From.GetPossPronoun] own...;;;;;;;;;x 
EVTDESC_TOG_1214;After years of careful planning, [FromFrom.GetDynName] from the court of [From.GetTitledName] has raised a large army of exiles, mercenaries and hopefuls, declaring [FromFrom.GetPossPronoun] intention to go off and carve out a realm of [FromFrom.GetPossPronoun] own...;;;;;;;;;x 
AT_PEACE_PRESTIGE_LOSS;At Peace (§Y$MONTHS$? months): §R$PRESTIGE$?;;;;;;;;;x 
alert_at_peace_prestige_loss_name;Long Peace;;;;;;;;;x 
alert_at_peace_prestige_loss_instant;§YYou have been at peace for too long!?;;;;;;;;;x 
alert_at_peace_prestige_loss_delayed;As a §Y$RELIGION$ Pagan?, you lose §R$PRESTIGE$? Prestige every month for being at peace and doing no raiding.;;;;;;;;;x 
job_spiritual_norse_pagan;Seer;;;;;;;;;x 
job_spiritual_norse_pagan_reformed;Seer;;;;;;;;;x 
job_spiritual_female_norse_pagan;Seeress;;;;;;;;;x 
job_spiritual_female_norse_pagan_reformed;Seeress;;;;;;;;;x 
temple_baron_norse_pagan;Godi;;;;;;;;;x 
temple_baron_norse_pagan_reformed;Godi;;;;;;;;;x 
temple_baron_female_norse_pagan;Gydja;;;;;;;;;x 
temple_baron_female_norse_pagan_reformed;Gydja;;;;;;;;;x 
temple_count_norse_pagan;Seidsman;;;;;;;;;x 
temple_count_norse_pagan_reformed;Seidsman;;;;;;;;;x 
temple_count_female_norse_pagan;Vala;;;;;;;;;x 
temple_count_female_norse_pagan_reformed;Vala;;;;;;;;;x 
temple_baron_female_pagan_group;Priestess;;;;;;;;;x 
job_spiritual_zoroastrian_group;Mobad;;;;;;;;;x 
temple_baron_zoroastrian;Herbad;;;;;;;;;x 
temple_barony_zoroastrian;Vahram;;;;;;;;;x 
temple_barony_of_zoroastrian;Vahram of;;;;;;;;;x 
king_female_iranian;Banebshen;;;;;;;;;x 
baron_iranian;Argbadh;;;;;;;;;x 
barony_iranian;Arg;;;;;;;;;x 
barony_of_iranian;Arg of;;;;;;;;;x 
count_iranian;Marzoban;;;;;;;;;x 
county_of_iranian;Marzpanate of;;;;;;;;;x 
duke_iranian;Satrap;;;;;;;;;x 
duchy_of_iranian;Satrapy of;;;;;;;;;x 
county_iranian;Marzpanate;;;;;;;;;x 
duchy_iranian;Satrapy;;;;;;;;;x 
kingdom_iranian;Shahdom;;;;;;;;;x 
avar;Avar;;;;;;;;;x 
ZOROASTRIAN_CLOSE_KIN_UNION;Since §Y[ActorExtra.GetFirstName]? is §Y[RecipientExtra.GetFirstName]'s? $RELATION$, it would be a sacred §YXwedodah? union, pleasing to vassal Zoroastrians.;;;;;;;;;x 
opinion_religious_divine_blood_marriage;Divine Marriage;;;;;;;;;x 
opinion_priest_religious_divine_blood_marriage;Divine Marriage;;;;;;;;;x 
PROV930;Bar;;;;;;;;;x 
PROV931;Möre;;;;;;;;;x 
PROV932;Tjust;;;;;;;;;x 
PROV933;Roslavl;;;;;;;;;x 
PROV934;Lepiel;;;;;;;;;x 
PROV935;Amalfi;;;;;;;;;x 
PROV1039;Loire;;;;;;;;;x 
PROV1040;Loire;;;;;;;;;x 
PROV1041;Seine;;;;;;;;;x 
PROV1042;Seine;;;;;;;;;x 
PROV1043;Rhine;;;;;;;;;x 
PROV1044;Rhine;;;;;;;;;x 
PROV1045;Rhine;;;;;;;;;x 
PROV1046;Elbe;;;;;;;;;x 
PROV1047;Elbe;;;;;;;;;x 
PROV1048;Elbe;;;;;;;;;x 
PROV1049;Elbe;;;;;;;;;x 
PROV1050;Elbe;;;;;;;;;x 
PROV1051;Vistula;;;;;;;;;x 
PROV1052;Vistula;;;;;;;;;x 
PROV1053;Vistula;;;;;;;;;x 
PROV1054;Vistula;;;;;;;;;x 
PROV1055;Vistula;;;;;;;;;x 
PROV1056;Dniester;;;;;;;;;x 
PROV1057;Dniester;;;;;;;;;x 
PROV1058;Danube;;;;;;;;;x 
PROV1059;Danube;;;;;;;;;x 
PROV1060;Danube;;;;;;;;;x 
PROV1061;Danube;;;;;;;;;x 
PROV1062;Northern Caspian Sea;;;;;;;;;x 
PROV1063;Danube;;;;;;;;;x 
PROV1064;Southern Caspian Sea;;;;;;;;;x 
PROV1065;Danube;;;;;;;;;x 
PROV1066;Danube;;;;;;;;;x 
PROV1067;Danube;;;;;;;;;x 
PROV1068;Danube;;;;;;;;;x 
PROV1069;Danube;;;;;;;;;x 
PROV1070;Dnieper;;;;;;;;;x 
PROV1071;Dnieper;;;;;;;;;x 
PROV1072;Dnieper;;;;;;;;;x 
PROV1073;Desna;;;;;;;;;x 
PROV1074;Desna;;;;;;;;;x 
PROV1075;Desna;;;;;;;;;x 
PROV1076;Dnieper;;;;;;;;;x 
PROV1077;Dnieper;;;;;;;;;x 
PROV1078;Dnieper;;;;;;;;;x 
PROV1079;Pripyat;;;;;;;;;x 
PROV1080;Daugava;;;;;;;;;x 
PROV1081;Daugava;;;;;;;;;x 
PROV1082;Dwina;;;;;;;;;x 
PROV1083;Neva;;;;;;;;;x 
PROV1084;Svir;;;;;;;;;x 
PROV1085;Volkhov;;;;;;;;;x 
PROV1086;Lake Ilmen;;;;;;;;;x 
PROV1087;Lovat;;;;;;;;;x 
PROV1088;Don;;;;;;;;;x 
PROV1089;Don;;;;;;;;;x 
PROV1090;Don;;;;;;;;;x 
PROV1091;Don;;;;;;;;;x 
PROV1092;Volga;;;;;;;;;x 
PROV1093;Volga;;;;;;;;;x 
PROV1094;Volga;;;;;;;;;x 
PROV1095;Volga;;;;;;;;;x 
PROV1096;Volga;;;;;;;;;x 
PROV1097;Volga;;;;;;;;;x 
PROV1098;Volga;;;;;;;;;x 
PROV1099;Volga;;;;;;;;;x 
PROV1100;Volga;;;;;;;;;x 
PROV1101;Volga;;;;;;;;;x 
PROV1102;Oka;;;;;;;;;x 
PROV1103;Volga;;;;;;;;;x 
PROV1104;Oka;;;;;;;;;x 
PROV1105;Volga;;;;;;;;;x 
PROV1106;Volga;;;;;;;;;x 
PROV1107;Garonne;;;;;;;;;x 
PROV1108;Garonne;;;;;;;;;x 
c_bar_adj;Barrois;;;;;;;;;x 
c_more_adj;Mörian;;;;;;;;;x 
c_tjust_adj;Tjustian;;;;;;;;;x 
c_roslavl_adj;Roslavlian;;;;;;;;;x 
c_lepiel_adj;Lepielian;;;;;;;;;x 
c_yaroslavl_adj_finno_ugric;Meryan;;;;;;;;;x 
b_commercy;Commercy;;;;;;;;;x 
b_saintdizier;Saint-Dizier;;;;;;;;;x 
b_stenay;Stenay;;;;;;;;;x 
b_etain;Étain;;;;;;;;;x 
b_alvesta;Alvesta;;;;;;;;;x 
b_torsas;Torsås;;;;;;;;;x 
b_soderakra;Söderåkra;;;;;;;;;x 
b_kopingsvik;Köpingsvik;;;;;;;;;x 
b_monsteras;Mönsterås;;;;;;;;;x 
b_madesjo;Madesj?;;;;;;;;x 
b_alem;Ålem;;;;;;;;;x 
b_doderhult;Döderhult;;;;;;;;;x 
b_hulingsryd;Hulingsryd;;;;;;;;;x 
b_tornsfall;Törnsfall;;;;;;;;;x 
b_kisa;Kisa;;;;;;;;;x 
b_jangolsrum;Jangolsrum;;;;;;;;;x 
b_furuby;Furuby;;;;;;;;;x 
b_markaryd;Markaryd;;;;;;;;;x 
b_kalmar_hus;Kalmarhus;;;;;;;;;x 
b_pochinok;Pochinok;;;;;;;;;x 
b_chocimsk;Chocimsk;;;;;;;;;x 
b_chashniki;Chashniki;;;;;;;;;x 
b_novolukoml;Novolukoml;;;;;;;;;x 
d_amalfi;Amalfi;;;;;;;;;x 
c_amalfi_adj;Amalfitan;;;;;;;;;x 
d_amalfi_adj;Amalfitan;;;;;;;;;x 
#b_amalfi;Amalfi;;;;;;;;;x 
b_ravello;Ravello;;;;;;;;;x 
b_tramonti;Tramonti;;;;;;;;;x 
b_positano;Positano;;;;;;;;;x 
b_portici;Portici;;;;;;;;;x 
b_afragola;Afragola;;;;;;;;;x 
b_minori;Minori;;;;;;;;;x 
b_turris_octava;Turris Octava;;;;;;;;;x 
b_eboli;Eboli;;;;;;;;;x 
REFILL_HOLDING_LEVY;Restore the Levy in §Y$HOLDING$?.\n;;;;;;;;;x 
CAPTURED_CLOSE_RELATIVE;$PERC$: Holds §Y$CHAR$? prisoner;;;;;;;;;x 
AIREASON_PREPARING_INVASION;Preparing to invade §Y[GetTitledName]?;;;;;;;;;x 
INVASION_TARGET;Invasion Target;;;;;;;;;x 
IS_REBEL;Is Rebel;;;;;;;;;x 
ISNT_REBEL;Is NOT Rebel;;;;;;;;;x 
IS_PREPARING_INVASION;Is Preparing Invasion;;;;;;;;;x 
ISNT_PREPARING_INVASION;Is NOT Preparing Invasion;;;;;;;;;x 
IS_TEMPORARY_TITLE;Is Temporary Title;;;;;;;;;x 
ISNT_TEMPORARY_TITLE;Is NOT Temporary Title;;;;;;;;;x 
CB_NAME_VIKING_INVASION;Prepared Invasion of [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_VIKING_INVASION;$ORDER$$FIRST_ADJ$ Prepared Invasion of $OTHER_TITLE$;;;;;;;;;x 
CB_NAME_PEASANT_CONQUEST;Peasant Revolt for [Title.GetBaseName];;;;;;;;;x 
WAR_NAME_PEASANT_CONQUEST;Peasant Revolt for $OTHER_TITLE$;;;;;;;;;x 
peasant_revolt_desc;Peasant leaders sometimes rise up and try to 'liberate' their county from oppression.;;;;;;;;;x 
PEASANT_REVOLT;[Root.County.GetAdjective] Peasant Revolt;;;;;;;;;x 
CB_NAME_HERETIC_UPRISING;[Actor.Religion.GetName] Uprising;;;;;;;;;x 
WAR_NAME_HERETIC_UPRISING;$ORDER$$SECOND_ADJ$ [Actor.Religion.GetName] Revolt;;;;;;;;;x 
heretic_revolt_desc;Heretic leaders - heresiarchs - can rise up if the authority of the parent religion is low, spreading their errant beliefs with fire and sword.;;;;;;;;;x 
HERETIC_REVOLT;[Root.Religion.GetName] Uprising;;;;;;;;;x 
heresiarch;Heresiarch;;;;;;;;;x 
heresiarch_desc;This character is the leader of a fanatic and militant heretic sect.;;;;;;;;;x 
religious_unrest;Religious Unrest;;;;;;;;;x 
peasant_unrest;Peasant Unrest;;;;;;;;;x 
cultural_unrest;Cultural Unrest;;;;;;;;;x 
opinion_rebel_traitor;Rebel Traitor;;;;;;;;;x 
rise_of_the_shia_caliphate;Rise of the Shi'a Caliphate;;;;;;;;;x 
SHIA_CALIPHATE_REVOLT;Pretender Shi'a Caliphate;;;;;;;;;x 
CB_NAME_SHIA_CALIPHATE_RISING;Shi'a Caliphate Rising in [Title.GetBaseName];;;;;;;;;x 
